Código Voluntário;Gênero;Função;Data Início CPM;Turma Atual;Comprometimento;Nível Máximo de Conhecimento;Preferência de Período;Preferência de Turma;Preferência de Faixa Etária
160;Masculino;Volunteacher;2018,1;B.1;5,97;D;Manhã;Permanecer no mesmo nível;Adolescente
161;Masculino;Volunteacher;2015,2;A.3;8,59;B;Tarde;Indiferente;Indiferente
162;Masculino;Volunteacher;2016,2;D.2;7,8;E;Manhã;Indiferente;Adulto
163;Masculino;Volunteacher;2017,2;E.2;6,78;H;Indiferente;Indiferente;Adulto
164;Feminino;Volunteacher;2017,2;A.2;6,64;B;Indiferente;Acompanhar meus alunos;Indiferente
165;Feminino;Volunteacher;2017,2;A.2;6,63;E;Indiferente;Indiferente;Adulto
166;Feminino;Volunteacher;2018,1;D.3;5,9;G;Tarde;Permanecer no mesmo nível;Adolescente
167;Feminino;Volunteacher;2017,2;F.1;6,48;F;Manhã;Acompanhar meus alunos;Adulto
168;Masculino;Volunteacher;2018,1;B.2;6;C;Manhã;Permanecer no mesmo nível;Indiferente
170;Masculino;Volunteacher;2018,1;A.2;6;D;Indiferente;Indiferente;Adulto
171;Feminino;Volunteacher;2016,1;C.1;8,01;D;Tarde;Indiferente;Indiferente
